Temperature (K), Resistance
28.000, 3.40500
30.000, 3.82000
32.000, 4.23500
36.000, 5.14600
38.000, 5.65000
40.000, 6.17000
42.000, 6.72600
46.000, 7.90900
52.000, 9.92400
58.000, 12.1800
65.000, 15.0150
75.000, 19.2230
85.000, 23.5250
105.000, 32.0810
140.000, 46.6480
180.000, 62.9800
210.000, 75.0440
270.000, 98.7840
315.000, 116.270
355.000, 131.616
400.000, 148.652
445.000, 165.466
490.000, 182.035
535.000, 198.386
585.000, 216.256
630.000, 232.106
675.000, 247.712
715.000, 261.391
760.000, 276.566
800.000, 289.830
810.000, 293.146